ID	Location	Membrane	Nucleus	Cytoplasm	Extracellular	Mitochondrion	Cell_membrane	Endoplasmic_reticulum	Plastid	Golgi_apparatus	Lysosome/Vacuole	Peroxisome
sp|Q09165|Negative_0	Extracellular	0.0225	0.0017	0.0415	0.4133	0.0014	0.0325	0.1822	0.0008	0.0236	0.303	0.0
sp|P98088|Negative_1	Extracellular	0.0022	0.0064	0.0492	0.8816	0.0035	0.0345	0.0091	0.0007	0.0084	0.0065	0.0
sp|D3YXG0|Negative_2	Extracellular	0.0077	0.042	0.1981	0.692	0.0047	0.033	0.0075	0.0009	0.0008	0.02	0.0009
sp|A2AJ76|Negative_3	Extracellular	0.0029	0.0005	0.0031	0.9878	0.0002	0.0031	0.0024	0.0	0.0001	0.0027	0.0
sp|Q7TMA5|Negative_4	Endoplasmic_reticulum	0.3287	0.0066	0.014	0.2113	0.0222	0.0374	0.5391	0.0015	0.0855	0.0806	0.0019
sp|P04114|Negative_4	Endoplasmic_reticulum	0.0384	0.006	0.0152	0.3468	0.0041	0.0109	0.5057	0.0004	0.0018	0.1089	0.0002
sp|Q06561|Negative_5	Extracellular	0.0004	0.0	0.0002	0.9026	0.0	0.0043	0.0732	0.0	0.0008	0.0189	0.0
sp|O55225|Negative_6	Extracellular	0.0008	0.0126	0.0321	0.9459	0.0006	0.0055	0.0015	0.0	0.0007	0.0011	0.0
sp|Q61555|Negative_7	Extracellular	0.0	0.0109	0.0156	0.9716	0.0016	0.0001	0.0	0.0	0.0	0.0002	0.0
sp|Q868Z9|Negative_8	Extracellular	0.0007	0.0008	0.0011	0.9182	0.0	0.0064	0.0567	0.0	0.0029	0.0137	0.0
sp|Q61554|Negative_7	Extracellular	0.0	0.0	0.0	0.9999	0.0	0.0	0.0	0.0	0.0	0.0001	0.0
sp|P35555|Negative_7	Extracellular	0.0	0.0	0.0001	0.9994	0.0	0.0001	0.0	0.0	0.0	0.0004	0.0
sp|Q9NR99|Negative_9	Extracellular	0.1009	0.0151	0.0149	0.7791	0.005	0.1292	0.0428	0.0002	0.0072	0.0065	0.0001
sp|Q28295|Negative_10	Extracellular	0.0001	0.0002	0.001	0.9968	0.0	0.0007	0.0004	0.0	0.0001	0.0007	0.0
sp|P04275|Negative_10	Extracellular	0.0	0.0	0.0	0.9998	0.0	0.0	0.0001	0.0	0.0	0.0001	0.0
sp|Q75N90|Negative_7	Extracellular	0.0	0.0009	0.003	0.9956	0.0001	0.0001	0.0	0.0	0.0	0.0003	0.0
sp|Q80Z19|Negative_11	Extracellular	0.0	0.0	0.0001	0.9992	0.0	0.0001	0.0006	0.0	0.0	0.0001	0.0
sp|A6H584|Negative_12	Extracellular	0.0006	0.0001	0.0003	0.9663	0.0001	0.0021	0.0223	0.0	0.0001	0.0089	0.0
sp|Q6WRI0|Negative_13	Extracellular	0.1017	0.0075	0.0268	0.7623	0.0018	0.1299	0.0478	0.0003	0.0112	0.0123	0.0
sp|P98159|Negative_14	Extracellular	0.3327	0.0726	0.0411	0.467	0.0037	0.1426	0.0081	0.0001	0.2523	0.0121	0.0004
sp|Q9IBG7|Negative_15	Extracellular	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
sp|B9EKR1|Negative_16	Cell_membrane	0.9963	0.0	0.0	0.0	0.0001	0.9776	0.0143	0.0	0.0031	0.0049	0.0
sp|Q8C6K9|Negative_12	Extracellular	0.0066	0.0053	0.1048	0.824	0.0003	0.0283	0.0258	0.0001	0.0001	0.0113	0.0001
sp|Q95209|Negative_17	Cell_membrane	0.9993	0.0	0.0	0.0	0.0	0.999	0.0005	0.0	0.0003	0.0002	0.0
sp|Q684R7|Negative_18	Extracellular	0.003	0.0013	0.0038	0.9601	0.0009	0.0039	0.0132	0.0	0.0009	0.016	0.0
sp|Q9VMD9|Negative_19	Endoplasmic_reticulum	0.1001	0.0207	0.1111	0.3346	0.0486	0.0075	0.3838	0.0037	0.0298	0.0601	0.0001
sp|Q99102|Negative_20	Cell_membrane	0.9343	0.0001	0.0	0.051	0.0003	0.8751	0.0463	0.0	0.0242	0.003	0.0001
sp|O76840|Negative_21	Extracellular	0.0	0.0	0.0	0.9958	0.0	0.0001	0.0035	0.0	0.0	0.0006	0.0
sp|O08523|Negative_22	Cell_membrane	0.5531	0.0004	0.0009	0.3628	0.0001	0.5027	0.0311	0.0	0.005	0.0969	0.0001
sp|Q19791|Negative_23	Extracellular	0.0103	0.004	0.0033	0.9805	0.0004	0.0052	0.0011	0.0	0.0024	0.003	0.0
sp|A0A1D8PQB9|Negative_24	Cell_membrane	0.5081	0.0048	0.0032	0.4166	0.0007	0.4954	0.0323	0.0	0.0028	0.0441	0.0
sp|P31696|Negative_25	Extracellular	0.0006	0.0002	0.0025	0.9955	0.0001	0.0007	0.0006	0.0	0.0	0.0003	0.0
sp|O00468|Negative_25	Extracellular	0.0001	0.0	0.0001	0.9937	0.0	0.0002	0.0054	0.0	0.0	0.0006	0.0
sp|Q9P2N4|Negative_26	Extracellular	0.0002	0.0006	0.0013	0.9975	0.0	0.0003	0.0001	0.0	0.0	0.0001	0.0
sp|Q5QNQ9|Negative_27	Extracellular	0.1602	0.0197	0.0562	0.5235	0.0429	0.3186	0.0125	0.0029	0.0183	0.0054	0.0001
sp|Q28019|Negative_28	Extracellular	0.0001	0.0134	0.0518	0.9313	0.0023	0.0003	0.0001	0.0	0.0	0.0008	0.0
sp|Q14767|Negative_28	Extracellular	0.0001	0.011	0.0736	0.9004	0.0128	0.0004	0.0001	0.0002	0.0001	0.0014	0.0
sp|P39061|Negative_29	Extracellular	0.002	0.0	0.0001	0.9873	0.0	0.0048	0.0065	0.0	0.0002	0.0011	0.0
sp|Q8N6G6|Negative_30	Extracellular	0.0174	0.0001	0.0002	0.9704	0.0	0.0183	0.0059	0.0	0.001	0.0042	0.0
sp|P17140|Negative_31	Extracellular	0.0003	0.0	0.0	0.9656	0.0	0.0012	0.0005	0.0	0.0	0.0326	0.0
